ano,filiados,mes,sigla
2003,3655,4,PR
2003,16,4,PCO
2003,4700,4,PDT
2003,665,4,PTC
2003,760,4,PT DO B
2003,2964,4,PTB
2003,1090,4,PHS
2003,3429,4,DEM
2003,907,4,PRTB
2003,78,4,PSTU
2003,1,4,PSOL
2003,17569,4,PMDB
2003,4056,4,PP
2003,671,4,PTN
2003,898,4,PSC
2003,1011,4,PC DO B
2003,10585,4,PSDB
2003,1706,4,PV
2003,14213,4,PT
2003,687,4,PMN
2003,43,4,PCB
2003,1715,4,PSB
2003,954,4,PSL
2003,6,4,PRB
2003,4001,4,PPS
2003,486,4,PRP
2003,1001,4,PSDC
2003,682,1,PR
2003,7,1,PCO
2003,2116,1,PDT
2003,118,1,PTC
2003,135,1,PT DO B
2003,1250,1,PTB
2003,453,1,PHS
2003,2861,1,DEM
2003,369,1,PRTB
2003,12,1,PSTU
2003,411,1,PV
2003,2552,1,PMDB
2003,1205,1,PP
2003,178,1,PTN
2003,167,1,PSC
2003,546,1,PC DO B
2003,4626,1,PSDB
2003,12466,1,PT
2003,354,1,PMN
2003,38,1,PCB
2003,808,1,PSB
2003,231,1,PSL
2003,1,1,PRB
2003,727,1,PPS
2003,247,1,PRP
2003,629,1,PSDC
2003,2502,3,PR
2003,6,3,PCO
2003,3600,3,PDT
2003,948,3,PTC
2003,483,3,PT DO B
2003,3378,3,PTB
2003,1872,3,PHS
2003,11656,3,DEM
2003,565,3,PRTB
2003,50,3,PSTU
2003,2,3,PSOL
2003,13006,3,PMDB
2003,3783,3,PP
2003,909,3,PTN
2003,805,3,PSC
2003,1149,3,PC DO B
2003,10355,3,PSDB
2003,1027,3,PV
2003,19237,3,PT
2003,567,3,PMN
2003,106,3,PCB
2003,1830,3,PSB
2003,611,3,PSL
2003,3,3,PRB
2003,2640,3,PPS
2003,827,3,PRP
2003,1236,3,PSDC
1993,351,2,PR
1993,905,2,PDT
1993,1,2,PSTU
1993,50,2,PSC
1993,71,2,PC DO B
1993,538,2,PSDB
1993,2215,2,PT
1993,1709,2,DEM
1993,317,2,PTB
1993,227,2,PSB
1993,180,2,PMN
1993,123,2,PT DO B
1993,1,2,PRB
1993,12,2,PTC
1993,77,2,PPS
1993,8,2,PCB
1993,275,2,PP
1993,17,2,PV
1993,690,2,PMDB
1993,370,2,PRP
1993,163,4,PR
1993,1864,4,PP
1993,55,4,PTC
1993,6,4,PSC
1993,57,4,PC DO B
1993,502,4,PSDB
1993,565,4,PT
1993,178,4,PMN
1993,284,4,PTB
1993,216,4,PSB
1993,221,4,PT DO B
1993,851,4,DEM
1993,78,4,PPS
1993,430,4,PDT
1993,9,4,PV
1993,557,4,PMDB
1993,269,4,PRP
1993,271,1,PR
1993,362,1,PDT
1993,386,1,PT DO B
1993,2,1,PTN
1993,96,1,PTB
1993,490,1,DEM
1993,4,1,PRTB
1993,56,1,PTC
1993,28,1,PV
1993,463,1,PMDB
1993,621,1,PP
1993,3,1,PSTU
