ano,filiados,mes,sigla
2002,4870,5,PT
2002,1223,5,PTB
2002,1846,5,PSDB
2002,13,11,PCO
2002,1166,11,DEM
2002,143,11,PMN
2002,1053,11,PP
2002,52,11,PSTU
2002,210,11,PV
2002,150,11,PSDC
2002,2205,11,PMDB
2002,57,11,PRTB
2002,1,11,PSD
2002,517,11,PPS
2002,176,11,PHS
2002,512,11,PSB
2002,11,11,PCB
2002,387,11,PR
2002,103,11,PSL
2002,37,11,PT DO B
2002,87,11,PTC
2002,427,11,PC DO B
2002,139,11,PSC
2002,68,11,PRP
2002,648,11,PDT
2002,62,11,PTN
2002,5121,11,PT
2002,625,11,PTB
2002,1733,11,PSDB
2002,3,8,PCO
2002,803,8,DEM
2002,38,8,PMN
2002,867,8,PP
2002,25,8,PSTU
2002,204,8,PV
2002,118,8,PSDC
2002,1659,8,PMDB
2002,14,8,PRTB
2002,576,8,PPS
2002,110,8,PHS
2002,440,8,PSB
2002,16,8,PCB
2002,469,8,PR
2002,65,8,PSL
2002,50,8,PT DO B
2002,148,8,PTC
2002,338,8,PC DO B
2002,33,8,PSC
2002,57,8,PRP
2002,977,8,PDT
2002,76,8,PTN
2002,3378,8,PT
2002,574,8,PTB
2002,978,8,PSDB
2002,14,3,PCO
2002,1684,3,DEM
2002,214,3,PMN
2002,2764,3,PP
2002,11,3,PSTU
2002,365,3,PV
2002,87,3,PSDC
2002,2637,3,PMDB
2002,159,3,PRTB
2002,13,3,PSD
2002,796,3,PPS
2002,354,3,PHS
2002,1083,3,PSB
2002,4,3,PCB
2002,1843,3,PR
2002,551,3,PSL
2002,255,3,PT DO B
2002,68,3,PTC
2002,331,3,PC DO B
2002,114,3,PSC
2002,446,3,PRP
2002,2381,3,PDT
2002,286,3,PTN
2002,5648,3,PT
2002,3031,3,PTB
2002,2590,3,PSDB
2002,15,10,PCO
2002,1263,10,DEM
2002,88,10,PMN
2002,1486,10,PP
2002,33,10,PSTU
2002,310,10,PV
2002,125,10,PSDC
2002,3411,10,PMDB
2002,258,10,PRTB
2002,1,10,PSD
2002,1185,10,PPS
2002,1,10,PRB
2002,252,10,PHS
2002,385,10,PSB
2002,5,10,PCB
2002,849,10,PR
2002,43,10,PSL
2002,122,10,PT DO B
2002,123,10,PTC
2002,604,10,PC DO B
2002,220,10,PSC
2002,418,10,PRP
2002,1208,10,PDT
2002,95,10,PTN
2002,6116,10,PT
2002,1028,10,PTB
2002,1892,10,PSDB
2002,10,6,PCO
2002,626,6,DEM
2002,229,6,PMN
2002,1087,6,PP
2002,8,6,PSTU
2002,160,6,PV
2002,73,6,PSDC
2002,1203,6,PMDB
2002,53,6,PRTB
2002,1,6,PSD
2002,680,6,PPS
2002,1,6,PRB
2002,83,6,PHS
2002,867,6,PSB
2002,14,6,PCB
2002,506,6,PR
2002,116,6,PSL
2002,15,6,PT DO B
2002,69,6,PTC
2002,1021,6,PC DO B
2002,82,6,PSC
2002,56,6,PRP
2002,669,6,PDT
2002,89,6,PTN
2002,3166,6,PT
2002,722,6,PTB
2002,1917,6,PSDB
2002,11,4,PCO
2002,3772,4,DEM
2002,250,4,PMN
2002,3913,4,PP
2002,16,4,PSTU
2002,511,4,PV
2002,131,4,PSDC
2002,4308,4,PMDB
2002,336,4,PRTB
2002,1,4,PSD
2002,1258,4,PPS
2002,1,4,PRB
2002,659,4,PHS
2002,1356,4,PSB
2002,3,4,PCB
2002,3030,4,PR
2002,425,4,PSL
2002,459,4,PT DO B
2002,205,4,PTC
2002,689,4,PC DO B
2002,433,4,PSC
2002,575,4,PRP
2002,3331,4,PDT
2002,355,4,PTN
2002,7635,4,PT
2002,3047,4,PTB
2002,7700,4,PSDB
2002,5,7,PCO
2002,457,7,DEM
2002,49,7,PMN
2002,1412,7,PP
2002,9,7,PSTU
2002,182,7,PV
2002,56,7,PSDC
2002,1440,7,PMDB
2002,38,7,PRTB
2002,612,7,PPS
2002,1,7,PRB
2002,69,7,PHS
2002,473,7,PSB
2002,2,7,PCB
2002,270,7,PR
2002,50,7,PSL
2002,45,7,PT DO B
2002,3,7,PTC
2002,353,7,PC DO B
2002,191,7,PSC
2002,18,7,PRP
2002,939,7,PDT
2002,59,7,PTN
2002,3396,7,PT
2002,519,7,PTB
2002,1174,7,PSDB
2002,2,1,PCO
2002,1052,1,DEM
2002,137,1,PMN
2002,2024,1,PP
2002,6,1,PSTU
2002,247,1,PV
2002,302,1,PSDC
2002,2003,1,PMDB
2002,182,1,PRTB
2002,2,1,PSD
2002,495,1,PPS
2002,104,1,PHS
2002,857,1,PSB
2002,6,1,PCB
2002,858,1,PR
2002,345,1,PSL
2002,88,1,PT DO B
2002,54,1,PTC
2002,380,1,PC DO B
2002,153,1,PSC
2002,153,1,PRP
2002,961,1,PDT
2002,143,1,PTN
2002,3808,1,PT
2002,1965,1,PTB
2002,1763,1,PSDB
2002,2,2,PCO
2002,1243,2,DEM
2002,145,2,PMN
2002,1781,2,PP
2002,6,2,PSTU
2002,170,2,PV
2002,101,2,PSDC
2002,1861,2,PMDB
2002,125,2,PRTB
2002,5,2,PSD
2002,799,2,PPS
2002,2,2,PRB
2002,175,2,PHS
2002,692,2,PSB
2002,10,2,PCB
2002,1228,2,PR
2002,373,2,PSL
2002,86,2,PT DO B
2002,133,2,PTC
2002,372,2,PC DO B
2002,189,2,PSC
2002,137,2,PRP
2002,1066,2,PDT
2002,176,2,PTN
2002,3471,2,PT
2002,1419,2,PTB
2002,1861,2,PSDB
2002,5,12,PCO
2002,1028,12,DEM
2002,142,12,PMN
2002,412,12,PP
2002,4,12,PSTU
2002,260,12,PV
2002,143,12,PSDC
2002,1671,12,PMDB
2002,156,12,PRTB
2002,359,12,PPS
2002,125,12,PHS
2002,422,12,PSB
2002,9,12,PCB
2002,307,12,PR
2002,34,12,PSL
2002,137,12,PT DO B
2002,29,12,PTC
2002,362,12,PC DO B
2002,72,12,PSC
2002,20,12,PRP
2002,548,12,PDT
2002,142,12,PTN
2002,4328,12,PT
2002,674,12,PTB
2002,1420,12,PSDB
2002,8,9,PCO
2002,1812,9,DEM
2002,105,9,PMN
2002,1258,9,PP
2002,47,9,PSTU
2002,165,9,PV
2002,97,9,PSDC
2002,2125,9,PMDB
2002,139,9,PRTB
2002,1,9,PSD
2002,590,9,PPS
2002,175,9,PHS
2002,545,9,PSB
2002,21,9,PCB
2002,580,9,PR
2002,83,9,PSL
2002,144,9,PT DO B
2002,87,9,PTC
2002,407,9,PC DO B
2002,193,9,PSC
2002,136,9,PRP
2002,604,9,PDT
2002,118,9,PTN
2002,3769,9,PT
2002,1102,9,PTB
2002,1302,9,PSDB
1992,2345,5,PSDB
1992,1264,5,PSB
1992,4,5,PCO
1992,46,5,PCB
1992,2061,5,PMN
1992,2157,5,PT DO B
1992,197,5,PC DO B
1992,1187,5,PV
